title,price,category
The Perfect Play (Play by Play #1),59.99,Romance
Last One Home (New Beginnings #1),59.98,Fiction
Civilization and Its Discontents,59.95,Psychology
The Barefoot Contessa Cookbook,59.92,Food and Drink
The Diary of a Young Girl,59.9,Nonfiction
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,Thriller
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,History
Boar Island (Anna Pigeon #19),59.48,Mystery
The Improbability of Love,59.45,Fiction
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,Nonfiction
